"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AACS",822.12809983254,-1.23852853523409,0.162885423304033,-7.60367938463293,2.87827814907368e-14,5.66350159767563e-13
"AADACL3",10.4970261056714,-2.17568542950094,0.868207063495759,-2.50595223303152,0.0122122116681778,0.0266665267775997
"AADAT",105.478035576303,-0.671774937276699,0.283970127794979,-2.36565353719778,0.0179982786723429,0.0372458223199498
"AAR2",486.827422674782,-0.466395349203378,0.108832769964969,-4.28543121114624,1.82385077112895e-05,8.37651993505748e-05
"AARSD1",896.079940419844,-0.38464801881422,0.143149897425663,-2.68702965025851,0.00720905531160396,0.0168418036068577
"ABCA3",413.160669714584,-0.769048863236415,0.237925629570638,-3.23230777879729,0.00122794719214661,0.00358028014107548
"ABCA6",241.044471312994,-0.606130010506662,0.255787293327376,-2.3696642730837,0.0178042438955127,0.0368832047835446
"ABCA7",471.243696674705,-0.616811776235801,0.15942783822201,-3.86890886255928,0.000109323493036209,0.000417744025132948
"ABCB8",519.714870022677,-0.828245197794745,0.19963154178103,-4.14886941414911,3.34121329796162e-05,0.000144788644019206
"ABCC11",250.180264900118,-0.889645863194421,0.319387113748379,-2.78547826414595,0.00534488232821506,0.0130048487859107
"ABCC5",545.112040966266,-1.59495985015231,0.240410051929539,-6.63433095809059,3.25977683866269e-11,4.23881164158583e-10
"ABCC6",28.6048126653811,-1.09531143647239,0.429393994545694,-2.55083082293977,0.0107466477415161,0.0238829429158598
"ABCD2",15.2025781180897,-1.99884027147902,0.626566915363063,-3.19014653099071,0.00142200673680727,0.00406386316461275
"ABCF2",812.810341838103,-0.513251756399691,0.168330490564755,-3.04907182696202,0.0022954959178981,0.00620832101607439
"ABHD13",858.528063543839,-0.941978451612273,0.111147916952343,-8.47499869940134,2.35082163267193e-17,6.91533363610992e-16
"ABHD15",326.125925902628,-0.506544383138992,0.162268964816359,-3.12163440317902,0.0017985013203976,0.00500216744295512
"ABHD17B",158.784073696737,-0.8173952628424,0.186749145997952,-4.3769692143672,1.20340963951372e-05,5.74991341023746e-05
