"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KRT25",6793.63624533234,-10.6849372057338,0.314765280642039,-33.9457299227518,1.41020216241655e-252,2.48900681666521e-248
"GNMT",1034.65245439316,-5.66849964008711,0.169819142689128,-33.3796269980229,2.70846168597015e-244,2.39021743786866e-240
"KRT71",7672.44127437725,-12.5832360398047,0.456062086597097,-27.5910592211126,1.42453239033541e-167,8.38099889647334e-164
"KRT35",16739.2284160105,-14.6055544122464,0.602463949536734,-24.2430346636962,7.83093753380397e-130,3.455401186791e-126
"NOTUM",351.572088722908,-5.46591353948094,0.245702771641269,-22.2460394035004,1.23204410669587e-109,4.34911569663644e-106
"TCHH",8539.11414575069,-7.54177660784621,0.342331106240519,-22.0306494804694,1.46458338867509e-107,4.30831613501923e-104
"MSX2",966.836104211289,-4.48895454433104,0.2041253924392,-21.991161857377,3.49913517529406e-107,8.82281940627717e-104
"PYCR1",670.909027865306,-4.64892099529878,0.215748064525615,-21.5479151830205,5.53852125431291e-103,1.22193625173279e-99
"COL11A1",1171.12511938833,-6.69898012151469,0.314799647650872,-21.2801385627477,1.73429144654136e-100,3.40113822571723e-97
"DLX3",1424.16688199238,-5.41391681415172,0.262240788619875,-20.6448311974814,1.08641377689379e-94,1.91752031621755e-91
"LOC113252867",488.670919152103,3.17665952390989,0.155164104076048,20.4729021755764,3.75574478503263e-93,6.0262632232569e-90
"SLC30A1",2208.35457596323,-3.03099418177837,0.148084375477791,-20.4680215046248,4.15134965456679e-93,6.10594345025865e-90
"LOC113257577",5324.20640548175,-13.4357508202846,0.66994598166124,-20.0549763534195,1.82630589731811e-89,2.4795614682819e-86
"SLC45A3",420.714488000292,-3.98344251536674,0.202729063416916,-19.649094452603,5.88534556364566e-86,7.41973922845328e-83
"TNC",4259.14533839313,-3.45140952122584,0.177761280787802,-19.415980273825,5.65465848805619e-84,6.65364815427945e-81
"RASSF6",261.405191658866,4.22456828086386,0.218181713522269,19.3626139086705,1.59578989338104e-83,1.76035572613596e-80
"GJB6",1180.18457940355,-5.57037952008867,0.292040420802653,-19.0740018274829,4.15275546435631e-81,4.31153729093464e-78
"COL3A1",78724.8606814351,-5.61218797577572,0.298246983572734,-18.8172497456527,5.45432312146558e-79,5.34826683854819e-76
"LOC113257587",3126.20895389274,-12.4008157102199,0.660160870712217,-18.7845361038155,1.01065578097988e-78,9.38846028120783e-76
"NUP210",424.605172550898,-3.89227308195342,0.209685860405207,-18.562401272226,6.47449587445532e-77,5.71374260920682e-74
"LOC113257586",20185.9041661942,-13.678899531077,0.742061926117423,-18.4336361287892,7.05761115961449e-76,5.93175414129504e-73
"SP6",317.399624550673,-4.96074057917741,0.269177651513999,-18.4292438516925,7.65454465580629e-76,6.14103241704459e-73
"GRM2",536.382657030211,4.1412676100101,0.23174267794637,17.8701119996917,2.01589226185905e-71,1.54697819225271e-68
"CASTOR1",831.988246279229,-2.19061717989139,0.122877682357821,-17.8276244950021,4.3136373049989e-71,3.17232076805128e-68
"TNMD",551.334790195341,-4.09391893902784,0.232089934934336,-17.6393644135671,1.22834790191619e-69,8.67213618752831e-67
"ADGRE2",262.626937510321,3.07426658600814,0.174505225198056,17.6170460369824,1.82277681452593e-69,1.23738502986087e-66
"SLC39A10",1689.52185077901,-3.61898091361013,0.206725044555864,-17.5062529137932,1.28371026365978e-68,8.39166153836853e-66
"KRT72",677.566889129896,-9.19750671320233,0.525988146679408,-17.4861482549877,1.82695632369185e-68,1.15163496832718e-65
"LEF1",1014.60643889859,-4.21736891717883,0.244202085764588,-17.269995479254,7.91486082884882e-67,4.81714805617868e-64
