"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",16.0700658984109,-0.228325231006438,0.361121483020524,0.465614145004554,0.562574593327654
"A2ML1",25.3534102267463,-0.610658747445185,0.590804889590281,0.136442373458816,0.207765325817281
"A4GALT",488.369112058475,0.0154080767573532,0.195557181076757,0.936712402118032,0.954504583879872
"A4GNT",34.4850234846662,-0.601650213457783,0.431989807800293,0.0897974912556568,0.146562393255256
"AACS",822.12809983254,-1.21278923690009,0.163156325194272,2.87827814907368e-14,5.66350159767563e-13
"AADACL2",45.2111276936013,-0.561269675813776,0.52548972828142,0.151075260010016,0.226126046402373
"AADACL3",10.4970261056714,-1.48374804967964,0.961410083328776,0.0122122116681778,0.0266665267775997
"AADACL4",12.4820011266083,-0.570072882607307,0.541534350249316,0.150775420342615,0.225811299876721
"AADAT",105.478035576303,-0.602843032998552,0.2764294071469,0.0179982786723429,0.0372458223199498
"AAGAB",947.189283285142,0.404531645744494,0.145736216487875,0.00457372453342372,0.0113475172919495
"AAK1",531.410699894832,0.248813910714513,0.121636719921343,0.0380215286995448,0.070420862679834
"AAMDC",270.494350321478,-0.301494362373408,0.185689622912987,0.0922341322328084,0.149763793367899
"AAMP",2032.74861943854,0.100534585036178,0.109180280491345,0.352604217969983,0.452879089446238
"AAR2",486.827422674782,-0.457730438436523,0.10816004890795,1.82385077112895e-05,8.37651993505748e-05
"AARS1",1928.3346371762,-0.120956309845022,0.0990239311623293,0.208554339373144,0.295590146144382
"AARS2",342.695777410363,0.0336125381452998,0.143597164587569,0.812099459364708,0.861702263904478
"AARSD1",896.079940419844,-0.371571172234879,0.141291758973835,0.00720905531160396,0.0168418036068577
"AASDH",673.696340301071,0.0864343541377127,0.163272344195956,0.588051167114533,0.673923972441498
"AASDHPPT",625.085807502815,-0.144800926480372,0.132533032645167,0.2657942323662,0.360644849420621
"AASS",363.406988938076,0.996045424328404,0.283691398027674,0.000156379400944095,0.000574780596972779
"AATF",588.422424275081,0.339784109582165,0.127022847536127,0.00655783039468681,0.01553216672923
"AATK",231.548758234038,0.154922039038865,0.258040595582853,0.522106976913107,0.61496083700476
"ABAT",275.915287297416,0.494780664668452,0.230901182232934,0.0234895181737209,0.0468040184879401
"ABCA12",568.375115700909,-0.353016060934869,0.339828093354538,0.239024187458154,0.330314508975604
"ABCA13",6.57018939514707,0.713025006304206,0.638820144166182,0.0999591400148045,0.160505715180249
"ABCA2",2863.08232832614,0.627823109865148,0.150188547792768,1.87633119433704e-05,8.58849729773047e-05
"ABCA3",413.160669714584,-0.71696824400646,0.234993187597701,0.00122794719214661,0.00358028014107548
