"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"A1BG",11.7974560557698,23.7423177581694,16.9631628421634,10.2050509198097,22.8367766934645,11.2513548213488,21.8844863262326,16.8717473848571,14.9576677163755,10.190638465918
"A2ML1",93.3071524410887,10.881895639161,30.7457326514211,43.8817189551818,15.224517795643,5.6256774106744,18.9002381908372,16.8717473848571,10.6840483688396,7.41137342975855
"A4GALT",465.463266200374,462.975196284304,455.885001383141,340.848700721644,585.192402770029,499.747676648242,421.77373646921,738.607607737076,500.013463661694,413.184068709039
"A4GNT",36.4648641723795,37.5920031171016,60.431267625207,37.7586884032959,29.4975032290584,33.7540644640464,31.8319801108838,7.49855439326981,59.8306708655019,10.190638465918
"AACS",1104.67088522209,514.416884760338,1030.51214266142,440.85819973578,1122.80818742867,461.305547675301,1268.30545754302,665.496702402696,1247.89684948047,365.010141415609
"AADACL2",66.4947523143391,38.5812663570253,59.3710699475718,7.1435356438668,82.783315513809,3.75045160711627,58.6902133294419,53.4272000520474,23.5049064114472,58.3645657593486
"AADACL3",23.5949121115397,2.96778971977118,20.143755875069,1.02050509198097,11.4183883467323,4.68806450889533,30.8372307324186,9.37319299158726,0,0.926421678719819
"AADACL4",37.5373601774495,5.93557943954236,15.9029651645282,5.10252545990486,12.36992070896,13.1265806249069,10.9422431631163,14.9971087865396,4.27361934753585,4.6321083935991
"AADAT",90.0896644258788,60.3450576353473,118.742139895144,96.9479837381923,113.232351105095,54.3815483031859,158.165151175954,130.287382583063,167.739559390782,64.8495175103873
"AAGAB",802.227011792349,1087.20030067618,733.656792923566,898.044480943255,696.521689150669,948.864256600415,939.043413271071,1362.86226097679,882.502395266152,1120.97023125098
"AAK1",462.245778185164,574.761942395685,557.663978436121,522.498607094257,420.577304104639,571.943870085231,494.390441097163,541.770554913744,488.26101045597,679.993512180347
"AAMDC",357.141169688305,312.607183815898,298.975745093129,214.306069316004,322.569470795187,257.843547989243,245.703096480884,255.888168670332,277.78525758983,162.123793775968
