"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"A1BG",3.88658088404772,4.1399932182097,4.00495524850402,3.84645522469986,4.12361146438678,3.87200861323403,4.1052310279355,4.00320030287765,3.9607275688008,3.84502928843114
"A2ML1",5.31860034215873,4.12995231160382,4.57479341380512,4.78510991103585,4.24676541284983,3.96192902192986,4.33599306655937,4.28764591444558,4.12615461458528,4.02169116898409
"A4GALT",8.87811233751956,8.87312472359491,8.85885082253466,8.59540997734309,9.09376865114414,8.94437882141489,8.78725210369909,9.31927936486759,8.94484585577072,8.76837774935156
"A4GNT",5.07033600092678,5.08805191116256,5.38538109201672,5.09045211840177,4.95530957879363,5.02753455592181,4.99559166435674,4.45284037395442,5.37849172403604,4.53081334242625
"AACS",9.929724696508,9.20221557517773,9.86091211332192,9.06419393013172,9.94606274155317,9.10417958770515,10.0680702685612,9.43968584305953,10.0516394509846,8.89946698356593
"AADACL2",5.6477122517512,5.29190090403543,5.56845318366365,4.6168655901557,5.81046876017997,4.49529032223166,5.56116483963401,5.49794724119378,5.02738842653267,5.55800823472322
"AADACL3",3.50100020120603,3.01472073411824,3.43907444063712,2.95285127574788,3.25064821988008,3.06672095156137,3.61292913225433,3.19852464048922,2.92022879898135,2.94724721813415
"AADACL4",4.0239852149104,3.36409619705659,3.62852103061473,3.33846529291564,3.54401130446825,3.56305016154694,3.50708570947086,3.60837880599943,3.31274425644926,3.32133400248438
"AADAT",6.56592327560046,6.27968500158693,6.78112364447949,6.62165076734769,6.74333164568886,6.21022376431977,7.01922995046023,6.85708569540841,7.06906888603439,6.32785362189419
"AAGAB",9.72164171490632,10.0126883511166,9.63813906914297,9.82842882952689,9.58992553296384,9.88107890026633,9.87109819520368,10.2355416167513,9.81181303113662,10.042576098846
"AAK1",8.9211031637109,9.12385957867682,9.09537035968883,9.03430370845923,8.83567121981831,9.11924241979676,8.98287610518699,9.06822122377881,8.97137339217216,9.2832455267096
"AAMDC",8.32313417605848,8.20038810106176,8.15967493806073,7.86521185472741,8.2292025570716,8.02678896440426,7.98416007594822,8.02003061490345,8.09330221412239,7.63102868303375
"AAMP",11.049087756807,11.0329418320069,10.9745035484209,11.1113315935659,10.9417355592052,11.128001549099,10.8834871598874,10.8518491456103,10.9048874656708,10.9595020996033
"AAR2",9.1377730308965,8.83746385007204,9.09947443829212,8.73042355288192,9.0401624637095,8.69696094621056,9.05747900276529,8.84143577949718,8.95933643099923,8.67948590202904
"AARS1",10.9777375397751,10.9848115569341,10.9900643950678,10.8247390418609,11.0024420911732,10.8660216677146,10.9430667825762,10.9077685713586,10.8451791561431,10.7451671595718
"AARS2",8.32370015106237,8.67098608932651,8.43646014608525,8.44751262556624,8.36264888695404,8.31694125677114,8.40023047406468,8.37532586222308,8.50018020631492,8.28684453602733
"AARSD1",9.99269642867775,9.77062958464861,10.0126541459152,9.72353869372369,9.97856666154352,9.53914379607211,9.85957960234452,9.79238365279816,9.73368953860648,9.46250550744717
"AASDH",9.26406357663164,9.61030329556444,9.36269438507203,9.41444811027621,9.46426628112359,9.09761247221489,9.40409961451846,9.60879721815883,9.29387004688327,9.28204743592989
