"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AACS",822.12809983254,-1.23852853523409,0.162885423304033,-7.60367938463293,2.87827814907368e-14,5.66350159767563e-13
"AADACL3",10.4970261056714,-2.17568542950094,0.868207063495759,-2.50595223303152,0.0122122116681778,0.0266665267775997
"AADAT",105.478035576303,-0.671774937276699,0.283970127794979,-2.36565353719778,0.0179982786723429,0.0372458223199498
"AAGAB",947.189283285142,0.418639773992051,0.147636214654544,2.83561709416373,0.00457372453342372,0.0113475172919495
"AAR2",486.827422674782,-0.466395349203378,0.108832769964969,-4.28543121114624,1.82385077112895e-05,8.37651993505748e-05
"AARSD1",896.079940419844,-0.38464801881422,0.143149897425663,-2.68702965025851,0.00720905531160396,0.0168418036068577
"AASS",363.406988938076,1.07359872229616,0.283967207553393,3.78071373644189,0.000156379400944095,0.000574780596972779
"AATF",588.422424275081,0.349161307736088,0.12843887430108,2.71850177476332,0.00655783039468681,0.01553216672923
"ABAT",275.915287297416,0.53688464558194,0.236995654638465,2.26537759268604,0.0234895181737209,0.0468040184879401
"ABCA2",2863.08232832614,0.647306891213418,0.151271006515605,4.27912067304611,1.87633119433704e-05,8.58849729773047e-05
"ABCA3",413.160669714584,-0.769048863236415,0.237925629570638,-3.23230777879729,0.00122794719214661,0.00358028014107548
"ABCA5",946.837296966633,2.27876937142246,0.255946933636067,8.90328842408662,5.42160613351664e-19,1.91382696513137e-17
"ABCA6",241.044471312994,-0.606130010506662,0.255787293327376,-2.3696642730837,0.0178042438955127,0.0368832047835446
"ABCA7",471.243696674705,-0.616811776235801,0.15942783822201,-3.86890886255928,0.000109323493036209,0.000417744025132948
"ABCB1",226.558195483946,0.4930053618175,0.202976041680351,2.42888450152107,0.0151453562508874,0.0321099745138935
"ABCB10",699.243579276778,0.451222443142729,0.0965180666562462,4.67500498896005,2.93946473637988e-06,1.59684680200385e-05
"ABCB4",115.671698728377,1.60682476702236,0.20580842552706,7.80738088301002,5.8388615349766e-15,1.2995700642161e-13
