"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB",947.189283285142,0.418639773992051,0.147636214654544,2.83561709416373,0.00457372453342372,0.0113475172919495
"AASS",363.406988938076,1.07359872229616,0.283967207553393,3.78071373644189,0.000156379400944095,0.000574780596972779
"AATF",588.422424275081,0.349161307736088,0.12843887430108,2.71850177476332,0.00655783039468681,0.01553216672923
"ABAT",275.915287297416,0.53688464558194,0.236995654638465,2.26537759268604,0.0234895181737209,0.0468040184879401
"ABCA2",2863.08232832614,0.647306891213418,0.151271006515605,4.27912067304611,1.87633119433704e-05,8.58849729773047e-05
"ABCA5",946.837296966633,2.27876937142246,0.255946933636067,8.90328842408662,5.42160613351664e-19,1.91382696513137e-17
"ABCB1",226.558195483946,0.4930053618175,0.202976041680351,2.42888450152107,0.0151453562508874,0.0321099745138935
"ABCB10",699.243579276778,0.451222443142729,0.0965180666562462,4.67500498896005,2.93946473637988e-06,1.59684680200385e-05
"ABCB4",115.671698728377,1.60682476702236,0.20580842552706,7.80738088301002,5.8388615349766e-15,1.2995700642161e-13
"ABCB6",1543.18690556404,0.364856905103355,0.129373872934223,2.82017455942481,0.00479975317942799,0.0118424072522889
"ABCC10",550.895354179141,0.619553460877597,0.182480247790356,3.39518094906017,0.000685832567133306,0.0021379273772347
"ABCC2",106.375092612776,0.664076274314927,0.196147584139735,3.38559497037618,0.000710241284224308,0.00220617895020998
"ABCC3",164.54050667273,1.56287791743789,0.246771205056233,6.3333074743536,2.39960684152187e-10,2.71493979185006e-09
"ABCF3",2096.08557824796,0.902049270312471,0.134821094762627,6.69071314025944,2.22085631909822e-11,2.96282041058833e-10
"ABCG1",835.535730468348,0.92262473136695,0.211877437143696,4.35452091456639,1.33358248749574e-05,6.3222484298415e-05
"ABCG8",41.7955551173982,2.21937048254894,0.482117346129933,4.60338235154645,4.15684059023662e-06,2.17903880064379e-05
"ABHD10",222.770156168727,0.664754683864041,0.143490622167072,4.63273957436773,3.60858363351255e-06,1.91784104581441e-05
"ABHD16A",2022.68458690908,0.270395307294378,0.11442777276551,2.36302167524035,0.0181266093892028,0.0374850211739226
