gene,BrownBear1_S,BrownBear1_W,BrownBear2_S,BrownBear2_W,BrownBear3_S,BrownBear3_W,BrownBear4_S,BrownBear4_W,BrownBear5_S,BrownBear5_W
A1BG,11,23.5,16,9.5,24,12,22.5,18.5,14,11
A1CF,0,0,0,0,0,0,0,1,0,0
A2ML1,87,11,29,43,16,6,19,18,10,8
A3GALT2,0,2,0,1,0,0,1,1.5,1,0
A4GALT,434,467.5,430,334.33,615,533,424,788,468,445.5
A4GNT,34,38,57,37,31,36,32,8,56,11
AACS,1030,520,972,432,1180.5,492.5,1275,710,1168.5,394
AADAC,0,3,0,0,0,4,0,0,0,6
AADACL2,62,39,56,7,87,4,59,57,22,63
AADACL3,22,3,19,1,12,5,31,10,0,1
AADACL4,35,6,15,5,13,14,11,16,4,5
AADAT,84,61,112,95,119,58,159,139,157,70
AAGAB,748,1099,692,880,732,1012,944,1454,826,1210
AAK1,431,581,526,512,442,610,497,577.5,457,734
AAMDC,333,316,282,210,339,275,247,273,260,175
AAMP,2019,2153,1892,2261,2037.5,2503,1835,1884,1747,2132
AANAT,0,0,0,0,0,0,0,0,0,0
AAR2,571,449.5,555,388,581,407,566.5,477,475,403.5
AARS1,1924,2101,1971,1727,2224,1962,2002,2049,1685,1750
AARS2,288,455,330,347,339,327,338,349,351,320
AARSD1,1019,878,1052.5,810,1132,724,958.5,948,782,674
AASDH,549,856,617,677.2,765,524.5,687.12,902,569,648
AASDHPPT,729.5,577,624,607,746.33,703.5,570,538.33,530,657
AASS,284,507.5,262,703,192,632,209,223,185,477
AATF,497,641,502,832,529,648,514,668,475,626
AATK,122,183,151,151.8,271,335,231,321,289,299
ABAT,218,370.5,292.5,440.5,215,235.5,209.5,390,158,250
ABCA12,1121,620,473,314,435,338,815,901,317,347
ABCA13,1,4,4,6,4,6,9,13,2,19
ABCA2,1574,3604.7,2581,4233,2369,3518.5,2366.2,3362,1988,3388
ABCA3,462.5,236.5,551.5,231.5,652,455,581,256.5,304,422.5
ABCA4,342,223,197,86,266,98,489.5,468.5,211,130
ABCA5,435,2026,222,2047,401,1505,231,990,285,1531
ABCA6,283,123,167,168,313.5,157.5,314.5,260,340,291.5
ABCA7,421,329,645,381.25,644.62,336,615.75,413,459.33,478.58
ABCA9,558.25,566.42,382.5,487.17,1093,710.5,887.25,920,915.75,1152.42
ABCB1,164.5,258,183,262.5,301,298,144,299.33,132,262
ABCB10,595,780,513,806,627,938,610,789,532,891
ABCB11,1,1,3,0,1,0,1,6,1,5
ABCB4,57,222.5,57,195.5,58,151,57,195.33,49,137
ABCB5,0,0,0,0,0,0,0,3,1,0
ABCB6,1236.83,1919,1381,1753,1313,2179,1392,1431,1236,1743
ABCB7,349,370,324,405,372,369.67,433,493,365,325
ABCB8,573,478,675,415,765,275,652,493,578,277
ABCB9,41,18.5,39,22,43,42,20,20,29,60
ABCC1,957,1250,1109,1733,1189,1870,1250,921,1015,1593
ABCC10,325,838,515,795,469,572,381.5,580,422,666
ABCC11,172,147,512,166,362,252,368,238,175,111
ABCC12,3,28,6,4,4,2,4,8,3,20
ABCC2,65,119.5,92.5,117,69.5,169,76.5,121,96.5,153
ABCC3,80,147,90,211,84,280,68,241,81.5,410
ABCC4,119,145,177,197,161,205,123,210,118,197
ABCC5,670,298,959,207,831,191,841,485,686,233
ABCC6,22,23,23,15,43,6,41,24,61,27
ABCC8,2,9,7,5,5,34,18,30,6,21
ABCC9,262,221,362,316,453,201,457,450,407,288
ABCD2,32,7,4,1,38.25,5,15,9,30,10
ABCD3,1353.75,1298.25,1241.5,1395.25,1277.5,1326,1332.5,1565.25,1231.25,1445.5
ABCD4,387,522,617,639,567,384,495,595,426,570
ABCE1,1692,1594,1658,1895,1991,2257,1498,1734,1445,2323
ABCF1,1789,1768,2200,1808,2219,1969,1878,1546,1732,2108
ABCF2,885,529,1063,536,1096,878,863,700,751,862
ABCF3,1270,2676.5,1450,2855,1707,3153,1383.75,2158.75,1316,3360.75
ABCG1,749,911,628,1222,536,1418,483,837,399,1303
ABCG2,78,74,88,107,94,116,105,106,97,93
ABCG4,68,90,111,121,107,203,96,125,67,149
ABCG5,128,428.5,97,293,364,888.5,10,408,252,14
ABCG8,20,60,10,52,24,137,3,32,15,79
ABHD1,0,1,1,1,2,1,1,1,1,1
ABHD10,173,252,122,283,191,306,181,269,173,312
ABHD11,217,219,220,176,285,228,192,267,221,214
ABHD12B,77,62,28,26,26,45,66,67,23,34
ABHD13,1155,638,932,626,1216,537,1116,648.5,1077.5,603
ABHD14A,330.5,348.5,422.5,272,363.5,178.5,366,517.5,414.5,371.5
ABHD14B,1828.5,2136,1964,2118,1707,1749,1545,2329.5,1384,1938.5
ABHD15,359,229,385,207,425,336,393,273,305,365
ABHD16A,1725,2485.5,1888,1963.5,1928.5,2517,1838,1966,1547.5,2581.5
ABHD16B,2,1,1,1,2,0,1,3,0,0
ABHD17B,233,87,176,97,190,151,205,116.5,180,150
ABHD17C,678,559,554,679.75,627,569,612.75,587,376,578.25
ABHD18,290,749,194,797,259,722,189,757,178,912
ABHD2,2003,2026,1656,1616,1533,2246,1849,2469,1280,2404
ABHD3,69,39,61,31,67,59,64,56.5,39,52
ABHD4,1218,1301,1036,1314,1088,1289,1133,1217,936,1436.75
ABHD5,849,182,478,183,469,235,576,286,420,268
ABHD6,358,76,332,48,337,136,316,111,199,109
ABHD8,383,412,283,351,359,392,450,330,341,383
ABI1,1667,1984,1285,2238,1579,2358,1748,2754,1624,2336
ABI2,644,268,634,236,813,335,673,353,777.5,389
ABI3,33,42,31,23,61,21,28,53,32,22
ABI3BP,2057,545,2242,800,2567,549,2974,1076,3350,525
ABITRAM,170,162,202,96,198,112,180,164,191,139
ABL1,1647,3322,1658,4413,1798,5344.5,1815,2768.5,1924.5,5569
ABL2,696,978.5,885,856,901,970,1137,1199,988.5,1299
ABLIM1,6015,7575,4763,6602.5,5713,6142,6329,6634.5,6170,7139
ABLIM2,144,112,191,152,276,346,256,232,154,331
ABLIM3,844,2660,691,1419,1164,1974,1009,2668,753,1769
ABR,2347,3788,2025,3599,2384,4253,2235,3847,2125,3992
ABRA,1,0,1,0,0,0,1,0,1,0
ABRACL,77,25,73,19,106,27,52,23,68,25
ABRAXAS1,192,254,204,255,218,271,212,374,187,282
ABRAXAS2,338,480,357,542,424,559,398,463,319,633
ABT1,548,461,601,459,699,446,629,430,552,355
ABTB1,514,596,369,508,386,489,383,570,283,491
ABTB2,361,280,406,328,333,307,314,416,297,324
ABTB3,510,783,484,950,402,1095,468,569,415,818
ACAA1,2230,1111,1556,1195,1763,1075,1224,1107,1106,973
ACAA2,1658.25,2335,1348,2059.83,1635.5,1825.5,1481.5,2386,1118.17,1979.5
ACACA,2982,1219,2450,1008,3457,1455,3754,1264,4976,1433
ACACB,106,263,88.33,201,161.75,220,174,320,144,271.5
ACAD10,139,154,144,86,160,227,153,166,118,177
ACAD11,872,1283,688,1114,685,1060,745,1055,606,1312
ACAD8,427,320,475.5,313,420,221.5,389.5,309,355,233
ACAD9,2383,1580,2621,1715,2716,1243,2468,2016,2152,1378
ACADL,482,110,179,98,220,114,212,99,259,138.5
ACADM,573,598,587,608,564,470,598,780,547,559
ACADS,827,880,610,680,816,405,608.5,773,579,638
ACADSB,577,746,463,369,496,286.5,637,438,678,361
ACAN,151,120,254,123,278,123,303,87,182,161
ACAP1,208,536.5,313,796.5,260,758,251.5,490,180,630
ACAP2,1046.5,942,827,921,799,1283,910,1248,992,1466
ACAP3,797,725.5,1172,718,1066,793,1089.25,706,1409,776
ACAT1,1527,1642,1301,1502,1668,1948,1267,980,1448,1737
ACAT2,1110,725,1469,705,1414,624,1358,1044,1188,777
ACBD3,729,770,659,786,767,1039,894,945,903,1075
ACBD4,341,614,433,430,491,352,346,576,354,439
ACBD5,491,595,451,548,428,575,568,628,486,613
ACBD6,364,535,344,707,394,763,356,508,315,627
ACBD7,49,75,51,40,40,55,33,51,44,80
ACCSL,26,39.5,43.5,39.5,72,72,19.5,26.5,63,82.5
ACD,123,194.75,132,151,162,135,115,161,128,151
ACE2,184,691.5,148,680,149,420.5,239.5,364,58.5,248
ACER1,467,157,398,145,325,177,443.5,272.5,159,100.75
ACER2,206,624,168,506,223,667,163,585,257,571
ACER3,1485,1107,1365,993,1719.25,1068,1540,1506,1824,1590
ACHE,57,84,56,58.5,71,73.5,49.5,82.5,48,64
ACIN1,2714.5,3359,3922,3648.33,4307,3445.17,3947,3300,3751,3749
ACKR1,354,268,450,150,680,131.5,363,401,290,70
ACKR2,130,176,213,185,249,295,154,204,134,359
ACKR3,539,616,396,564,756,344,637,533,753,373
ACKR4,780,2034,612,812,567,527,1182,1441,1739,383
ACLY,3636.97,2199.5,4783.5,1979,5345.42,2528,5135.75,2691,6007,2280
ACMSD,0,0,0,0,2,0,0,0,2,0
ACO1,1559,1418,1259,1733,1485,1764,1474,1264,1957,1703
ACO2,2459,802,2707.5,782,2962,712.75,2530.75,1212,2538,772
ACOD1,0,1,0,0,0,1,0,0,0,0
ACOT11,146,283,195,195,172,377,185,366,124,456.5
ACOT12,85,72,89,72,115,121,87,116,115,131
ACOT13,499,361,347,243,314,312,364,350,332,385
ACOT7,522,152,510,209,774,249,472,265,297,238
ACOT8,448,477,496,364.5,490,184.5,348.5,587.5,310,245.5
ACOT9,1106,1857,1437,2037,1670,2007,1658,1758,1477,1899
ACOX1,1174,1842,1424,2092,1204,1595,1451,1873,1131,1143
ACOX2,16,0,33,1,31,0,49,2,17,5
ACOX3,355,622,464,771,486,1083,480,888,522,1348
ACOXL,75,17,15,11,43,5,15,5,8,5
ACP1,764,703.5,720.5,690.5,770.5,934,642,597.5,563.5,798
ACP2,286,316,313,339,401,301,351,361,292,329
ACP3,2083,485,1034,468,741,193,1003,787,570,378
ACP4,1,0,0,0,1,0,0,0,0,0
ACP5,459,120,320,200,300,195,444,222,392,186
ACP6,841,645,702,703,765,636,808,658,563,617
ACP7,441,15,151,11,175,13,299,19,151.17,6.25
ACR,2,0,2,1,0,0,0,1,0,0
ACRBP,14,25.5,31,30,15,41.5,25,36.5,22,28
ACRV1,0,0,0,0,0,0,1,0,0,0
ACSBG1,610.5,2479.83,696,2408,726,1969,969,2275.33,448.33,1675.83
ACSF2,394,313.5,195.5,107.5,446.5,150,306.5,267.5,376,274
ACSF3,330,287,352,250,407,296,422,358,292,393
ACSL1,1209,1632,947,1546,1072,1336,2658,1215,1586,1257
ACSL3,1205,847,1103,851,1209,906,1079,1223,891,824
ACSL4,539,464,605,599.5,612,784,561,650.5,540,811
ACSL5,159,168,373.75,219,323,213,246,264,196,143
