"","logFC","logCPM","F","PValue","FDR"
"LOC113257577",-13.2130566150931,8.35612835753304,3607.5241957984,1.57557275299149e-23,2.63104894022048e-19
"KRT35",-14.5037212132443,10.0056635599328,1341.26219909199,1.25013701644711e-18,1.04380190188251e-14
"LOC113257587",-12.2784479279094,7.58586481929978,842.349882786635,2.97645981027423e-17,1.65679674572565e-13
"KRT71",-12.5102995864545,8.88080207951307,1424.35704764831,5.7730856256405e-16,2.41011892156427e-12
"GNMT",-5.66858054828027,5.9930017203187,1408.70979714088,4.53268234473086e-14,1.51382524949321e-10
"LOC113263023",-11.5893036687481,6.6804377197507,335.946551851263,9.68220259769566e-14,2.694718352982e-10
"KRT25",-10.6241387123281,8.705797408372,899.085770158606,8.71261569108896e-13,2.07845670607849e-09
"KRT72",-9.14253016250852,5.38029653163854,441.543377893615,1.35623256054022e-12,2.83096594105764e-09
"NOTUM",-5.45941664069151,4.44088952655082,582.087148093722,1.06899719024876e-11,1.98346489777378e-08
"LOC113265471",-7.31790879416529,2.2458296757282,194.310944177303,1.60449332358999e-11,2.67934340106293e-08
"LOC113252867",3.17046011191978,4.91220892628807,471.801712138627,3.42005288644655e-11,5.06736205938896e-08
"MSX2",-4.49114090163625,5.89632796570394,466.941975991993,3.64143629634514e-11,5.06736205938896e-08
"SLC30A1",-3.03534801866428,7.08569613262166,453.183326655082,4.34596095984619e-11,5.58255400526704e-08
"RASSF6",4.21355653483608,4.01563073907932,444.694929463234,5.0212169768845e-11,5.91447687179404e-08
"PYCR1",-4.65031743001699,5.3703123639196,438.764819905868,5.3127225029589e-11,5.91447687179404e-08
"SLC45A3",-3.98368114705834,4.69709909648639,421.035139627951,6.80607372383417e-11,7.10341406964418e-08
"TGM7",-7.90936712701074,3.02111552149751,159.611403906121,7.84693144832884e-11,7.70799460327314e-08
"PADI3",-9.20306954581251,6.95325671432753,405.444958777458,9.21243712434054e-11,8.54658264107571e-08
"HEPHL1",-8.03197037483595,6.27502798130238,392.506188745314,1.23659403680349e-10,1.08683599055692e-07
"KRT27",-8.5256852013426,7.92733211145305,376.514662266265,1.37642779273951e-10,1.14924838554785e-07
"TNC",-3.45510131317873,8.03265576657664,365.983838122081,1.56320816041725e-10,1.24304824146703e-07
"DLX3",-5.41605993871555,6.45347719790551,361.127199208792,1.69999523101914e-10,1.28157571951094e-07
"SP6",-4.95512366889742,4.29315171947357,361.090426984105,1.78193419370431e-10,1.28157571951094e-07
"CASTOR1",-2.19446226867748,5.67913828824377,355.101162141874,1.87257259217609e-10,1.28157571951094e-07
"NUP210",-3.89518988392084,4.71235902609389,353.982397046676,1.91864141492146e-10,1.28157571951094e-07
"ADGRE2",3.06384216636335,4.02146277639922,349.161181318074,2.08300195414511e-10,1.33784806277958e-07
"COL11A1",-6.69897952173754,6.17460104395459,343.217104857833,2.37852635064461e-10,1.47107450108942e-07
"LOC113257586",-13.63150164692,10.2702727546449,256.105540875156,2.70739920206595e-10,1.61467354554641e-07
"GRM2",4.1352074908541,5.04525340029168,321.827944979017,3.38264597944242e-10,1.94782086933479e-07
