"","group","lib.size","norm.factors"
"BrownBear1_S","Active",18199986.24,0.842978100489185
"BrownBear1_W","Hibernating",15762508,1.04436250107096
"BrownBear2_S","Active",16157888.94,0.951881941079049
"BrownBear2_W","Hibernating",15727185.95,1.0165425389815
"BrownBear3_S","Active",16625053.26,1.02655841696932
"BrownBear3_W","Hibernating",16234203.07,1.07577934485379
"BrownBear4_S","Active",17221108.53,0.94336612472529
"BrownBear4_W","Hibernating",15724340.18,1.10400346719697
"BrownBear5_S","Active",16752949.85,0.901275188737585
"BrownBear5_W","Hibernating",15557334.43,1.13242329239235
