"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"A1BG",-0.253412431120383,0.631786221391306,0.216879929883479,-0.481661659954457,0.611822870910164,-0.30571015367874,0.591588367265342,0.248070296263978,0.0692143072884021,-0.422148786615655
"A2ML1",2.53420334619507,-0.339806251060516,1.00536306009914,1.49136981331123,0.0832975912257183,-1.103183114546,0.369008307851182,0.212650564927012,-0.350656161180517,-0.795791868054672
"A4GALT",4.82832360613891,4.83395545250866,4.81144952706754,4.39465693120713,5.17621287401028,4.93739700755935,4.71264876452986,5.50824935091833,4.95964583087438,4.66728474486809
"A4GNT",1.2253017825576,1.28114072842369,1.93657073094533,1.28466897449831,0.954826800102063,1.12648796189606,1.06465587937785,-0.779002903812007,1.93763905218348,-0.422148786615655
"AACS",6.07161364674971,4.98687786701681,5.98457163286021,4.76252337291046,6.11462012340432,4.82385722754709,6.29652506751496,5.3582972862955,6.27633013797136,4.49095958558798
"AADACL2",2.05764985950997,1.31675827907521,1.9118560236301,-0.837071393352943,2.38394233896184,-1.51058116929574,1.90828931115854,1.76782169245084,0.658993640991744,1.88671563148355
"AADACL3",0.637737084972444,-1.71703537326479,0.440708528815392,-2.43844648819419,-0.277427607011209,-1.29254919018041,1.02156258063524,-0.518745313206884,-3.03584213991833,-2.48443252769577
"AADACL4",1.26497067241228,-1.03974485652795,0.133825986644794,-1.20197472842249,-0.178445150132309,-0.114718670136565,-0.32367796299632,0.0615772520068784,-1.37015158606893,-1.30136682179201
"AADAT",2.48466145599983,1.93639736979331,2.88829027958932,2.60030022027277,2.82672527435419,1.78365350854996,3.30874953036153,3.0230724939308,3.39505696035679,2.03395382278258
"AAGAB",5.61106521076319,6.06356011572429,5.49551103576399,5.78569245919325,5.42669226985879,5.85967894834703,5.86367107979629,6.39023765888631,5.77682683206609,6.10441365360424
"AAK1",4.81835953129354,5.14632185290422,5.10103183539856,5.0066228809066,4.70157582545808,5.13134584682258,4.94084461423726,5.06128277220586,4.92546753210372,5.3849156594524
"AAMDC",4.44802754675507,4.27186764432012,4.20609217668261,3.72871636622898,4.32086734743643,3.98806920101827,3.93789508651805,3.98622738095117,4.1161643946547,3.32987591841974
"AAMP",7.04132845017502,7.03242888252635,6.9441039606543,7.14512901067826,6.90095393546175,7.16432225426398,6.82112474799793,6.76353061273253,6.85580029409296,6.92050794629214
"AAR2",5.22263291855268,4.77755716803841,5.17818896654609,4.6082834686223,5.09444930891326,4.55006649886727,5.12897189992098,4.78656072070244,4.98098150207967,4.52514842957349
"AARS1",6.97186227915861,6.99718998296425,7.00306238715205,6.75682032849458,7.02718722202513,6.81332712137299,6.94665688029832,6.88452124611591,6.80372515987489,6.63597238125033
"AARS2",4.2398329205446,4.79502506758192,4.43147605556955,4.44801438092306,4.32086734743643,4.23616426268841,4.38731371592489,4.33813425816803,4.54649149540714,4.19264383024799
"AARSD1",6.0561515947802,5.74032345490507,6.09915114415199,5.66638639289976,6.05420480518291,5.37773582082335,5.88561694992676,5.77428831634898,5.69803417390734,5.262258909459
"AASDH",5.166137098617,5.70379788280376,5.33048338661021,5.40872553921679,5.49013193733955,4.91429728311883,5.40657526501918,5.70269259398053,5.24056214013154,5.20568802529705
"AASDHPPT",5.57502618894071,5.13638944129427,5.34670988293846,5.25131891396646,5.45458377213709,5.33641983088816,5.13782699444555,4.96033595652543,5.13846819370486,5.22552228265412
