"","logFC","logCPM","F","PValue","FDR"
"LOC113252867",3.17046011191978,4.91220892628807,471.801712138627,3.42005288644655e-11,5.06736205938896e-08
"RASSF6",4.21355653483608,4.01563073907932,444.694929463234,5.0212169768845e-11,5.91447687179404e-08
"ADGRE2",3.06384216636335,4.02146277639922,349.161181318074,2.08300195414511e-10,1.33784806277958e-07
"GRM2",4.1352074908541,5.04525340029168,321.827944979017,3.38264597944242e-10,1.94782086933479e-07
"LMO7",2.56244110644197,7.50539608276772,306.719150120138,4.47625734060107e-10,2.3494620565255e-07
"CLN6",1.72918777733319,6.26639728396756,291.058233991972,6.10851885414571e-10,2.75692314446971e-07
"TTC12",2.8208189237251,5.00678838284792,284.18429728028,7.04715045183295e-10,2.86273407043398e-07
"LOC130544029",4.85094704685558,1.32688397443551,186.18849115368,7.16024685552961e-10,2.86273407043398e-07
"LOC113266558",7.13401488031334,3.45635919015197,181.247496661023,7.20012162154784e-10,2.86273407043398e-07
"LOC123000483",6.45155027149833,3.31843228709966,226.828398184293,7.57048373143035e-10,2.88691991425583e-07
"PTPRU",2.16353001636844,5.99991754526009,275.432122149824,8.47111059336103e-10,2.88691991425583e-07
"ATP6V1B1",4.22846115810144,5.45592108287644,237.969568365094,2.01169861691849e-09,5.86472565107954e-07
"LOC130544325",3.16254097026097,3.14648514252658,235.339342034736,2.18568728288623e-09,6.0435991817604e-07
"ESYT3",1.76219886463905,5.67659744204057,228.43242231579,2.55004655656139e-09,6.55126576123364e-07
"RSPO4",3.91601525478942,0.26904898873057,135.468983840138,3.10484213346497e-09,6.91920864990826e-07
"FOXR1",4.75772592988576,2.42667693853049,216.153312111724,3.21014719763269e-09,7.05345369121951e-07
"RIN1",2.04209773077113,5.89592296278718,214.706755302678,3.66573894086063e-09,7.6942553583413e-07
"LOC130542717",3.6392795838683,3.53024794318857,207.956586794766,4.51226331695904e-09,9.07834760601192e-07
"LOC113268387",5.1795137072538,1.83462833233117,152.447061747466,5.1302044070198e-09,9.5989614690056e-07
"AQP8",4.46543940929487,2.99664147245555,206.84159622982,5.23088504508958e-09,9.5989614690056e-07
"DDO",4.90468234424319,1.14282280406229,124.107965426304,5.82345210540724e-09,1.00253429596078e-06
"C2CD5",1.57114190277337,6.13635543218701,195.691272880594,6.29494489111994e-09,1.01394291344773e-06
"RNPC3",1.72135984622479,5.6955299848796,195.055893342889,6.41689652837875e-09,1.01394291344773e-06
"ZRANB3",2.56512847873873,5.70964782855324,189.8929908563,7.50140459771523e-09,1.10854827767475e-06
"WFDC3",3.03737815701639,3.46252910228532,188.799278383959,7.83110358171185e-09,1.13714433661745e-06
"TTC39C",1.60218339535825,5.26052898393928,184.824043063561,8.77568666081369e-09,1.21733335107584e-06
